0.0000,0.0407,0.2401,-0.8508
0.0335,0.0482,0.2129,-0.8378
0.0670,0.0559,0.1852,-0.8299
0.1004,0.0623,0.1571,-0.8257
0.1339,0.0675,0.1287,-0.8240
0.1674,0.0713,0.1002,-0.8234
0.2009,0.0750,0.0718,-0.8228
0.2343,0.0777,0.0435,-0.8208
0.2678,0.0790,0.0157,-0.8161
0.3013,0.0790,-0.0117,-0.8075
0.3348,0.0790,-0.0383,-0.7937
0.3683,0.0777,-0.0685,-0.7624
0.4017,0.0765,-0.0877,-0.7188
0.4352,0.0726,-0.1126,-0.6684
0.4687,0.0689,-0.1341,-0.6089
0.5022,0.0638,-0.1545,-0.5461
0.5357,0.0575,-0.1710,-0.4886
0.5691,0.0536,-0.1906,-0.4250
0.6026,0.0459,-0.2205,-0.3588
0.6361,0.0396,-0.2283,-0.2986
0.6696,0.0332,-0.2328,-0.2237
0.7030,0.0243,-0.2342,-0.1747
0.7365,0.0180,-0.2365,-0.0858
0.7700,0.0078,-0.2389,-0.0227
0.8035,0.0002,-0.2397,0.0457
0.8370,-0.0086,-0.2408,0.1193
0.8704,-0.0179,-0.2407,0.2017
0.9039,-0.0278,-0.2348,0.2577
0.9374,-0.0355,-0.2280,0.2392
0.9709,-0.0355,-0.2195,0.3008
1.0044,-0.0435,-0.2048,0.3680
1.0378,-0.0511,-0.1941,0.4552
1.0713,-0.0598,-0.1744,0.5162
1.1048,-0.0659,-0.1611,0.5835
1.1383,-0.0725,-0.1407,0.6412
1.1717,-0.0775,-0.1193,0.6848
1.2052,-0.0814,-0.1001,0.7206
1.2387,-0.0852,-0.0840,0.7434
1.2722,-0.0863,-0.0621,0.7742
1.3057,-0.0890,-0.0185,0.7814
1.3391,-0.0890,0.0094,0.7958
1.3726,-0.0891,0.0378,0.7827
1.4061,-0.0877,0.0580,0.7806
1.4396,-0.0857,0.0869,0.7526
1.4730,-0.0826,0.1094,0.7173
1.5065,-0.0787,0.1321,0.6803
1.5400,-0.0749,0.1544,0.6336
1.5735,-0.0698,0.1734,0.5532
1.6070,-0.0634,0.1969,0.4778
1.6404,-0.0569,0.2100,0.4472
1.6739,-0.0506,0.2265,0.3819
1.7074,-0.0429,0.2380,0.3212
1.7409,-0.0353,0.2497,0.2252
1.7744,-0.0253,0.2571,0.1545
1.8078,-0.0176,0.2611,0.0695
1.8413,-0.0086,0.2668,-0.0189
1.8748,0.0004,0.2674,-0.1049
1.9083,0.0094,0.2611,-0.2027
1.9417,0.0184,0.2569,-0.2696
1.9752,0.0260,0.2463,-0.3643
2.0087,0.0349,0.2328,-0.4395
2.0422,0.0427,0.2186,-0.5170
2.0757,0.0503,0.1986,-0.5850
2.1091,0.0567,0.1823,-0.6491
2.1426,0.0630,0.1599,-0.7101
2.1761,0.0695,0.1354,-0.7398
2.2096,0.0733,0.1108,-0.7700
2.2431,0.0759,0.0840,-0.8036
2.2765,0.0797,0.0603,-0.8075
2.3100,0.0811,0.0292,-0.8160
2.3435,0.0827,0.0029,-0.8105
2.3770,0.0827,-0.0254,-0.7897
2.4104,0.0814,-0.0529,-0.7808
2.4439,0.0801,-0.0787,-0.7453
2.4774,0.0775,-0.1032,-0.7142
2.5109,0.0735,-0.1243,-0.6768
2.5444,0.0697,-0.1495,-0.6296
2.5778,0.0646,-0.1704,-0.5843
2.6113,0.0594,-0.1871,-0.5198
2.6448,0.0518,-0.2061,-0.4727
2.6783,0.0454,-0.2199,-0.4106
2.7118,0.0378,-0.2344,-0.3429
2.7452,0.0301,-0.2492,-0.2775
2.7787,0.0225,-0.2566,-0.2001
2.8122,0.0136,-0.2642,-0.1197
2.8457,0.0046,-0.2675,-0.0246
2.8791,-0.0042,-0.2687,0.0485
2.9126,-0.0121,-0.2683,0.1503
2.9461,-0.0221,-0.2629,0.2506
2.9796,-0.0314,-0.2567,0.3430
3.0131,-0.0400,-0.2445,0.4401
3.0465,-0.0489,-0.2289,0.5294
3.0800,-0.0566,-0.2130,0.5911
3.1135,-0.0629,-0.1910,0.6723
3.1470,-0.0698,-0.1689,0.7344
3.1804,-0.0749,-0.1433,0.7881
3.2139,-0.0808,-0.1181,0.8229
3.2474,-0.0846,-0.0843,0.8376
3.2809,-0.0871,-0.0590,0.8511
3.3144,-0.0885,-0.0300,0.8484
3.3478,-0.0896,-0.0016,0.8358
3.3813,-0.0896,0.0261,0.8218
3.4148,-0.0896,0.0516,0.7861
3.4483,-0.0870,0.0832,0.7470
3.4818,-0.0844,0.1059,0.7024
3.5152,-0.0807,0.1279,0.6586
3.5487,-0.0767,0.1478,0.6043
3.5822,-0.0708,0.1682,0.5725
3.6157,-0.0663,0.1897,0.5082
3.6491,-0.0591,0.2065,0.4529
3.6826,-0.0525,0.2203,0.3956
3.7161,-0.0448,0.2344,0.3344
3.7496,-0.0374,0.2428,0.2616
3.7831,-0.0285,0.2519,0.2076
3.8165,-0.0218,0.2609,0.1294
3.8500,-0.0129,0.2661,0.0373
3.8835,-0.0027,0.2678,-0.0414
3.9170,0.0063,0.2678,-0.1339
3.9505,0.0152,0.2612,-0.2050
3.9839,0.0229,0.2568,-0.2900
4.0174,0.0319,0.2473,-0.3834
4.0509,0.0407,0.2337,-0.4644
4.0844,0.0484,0.2169,-0.5597
4.1178,0.0561,0.1989,-0.6322
4.1513,0.0637,0.1755,-0.6941
4.1848,0.0689,0.1518,-0.7416
4.2183,0.0739,0.1321,-0.7846
4.2518,0.0778,0.1021,-0.8085
4.2852,0.0816,0.0776,-0.8404
4.3187,0.0842,0.0448,-0.8396
4.3522,0.0854,0.0142,-0.8399
4.3857,0.0854,-0.0133,-0.8272
4.4191,0.0855,-0.0425,-0.8045
4.4526,0.0842,-0.0654,-0.7859
4.4861,0.0829,-0.0917,-0.7585
4.5196,0.0793,-0.1151,-0.7175
4.5531,0.0754,-0.1399,-0.6550
4.5865,0.0690,-0.1615,-0.6165
4.6200,0.0651,-0.1843,-0.5566
4.6535,0.0575,-0.2005,-0.5093
4.6870,0.0512,-0.2199,-0.4638
4.7205,0.0448,-0.2334,-0.4016
4.7539,0.0371,-0.2473,-0.3397
4.7874,0.0295,-0.2613,-0.2531
4.8209,0.0193,-0.2657,-0.1769
4.8544,0.0117,-0.2706,-0.0768
4.8878,0.0014,-0.2753,0.0051
4.9213,-0.0074,-0.2791,0.1089
4.9548,-0.0176,-0.2755,0.1940
4.9883,-0.0254,-0.2699,0.3074
5.0218,-0.0354,-0.2616,0.3872
5.0552,-0.0433,-0.2456,0.4943
5.0887,-0.0533,-0.2284,0.5775
5.1222,-0.0608,-0.2074,0.6416
5.1557,-0.0665,-0.1866,0.7201
5.1892,-0.0735,-0.1593,0.7888
5.2226,-0.0800,-0.1369,0.8220
5.2561,-0.0838,-0.1053,0.8527
5.2896,-0.0875,-0.0793,0.8639
5.3231,-0.0888,-0.0463,0.8727
5.3565,-0.0915,-0.0215,0.8595
5.3900,-0.0913,0.0133,0.8480
5.4235,-0.0913,0.0370,0.8266
5.4570,-0.0900,0.0647,0.7925
5.4905,-0.0874,0.0939,0.7616
5.5239,-0.0849,0.1187,0.7316
5.5574,-0.0810,0.1387,0.6654
5.5909,-0.0753,0.1652,0.6326
5.6244,-0.0710,0.1826,0.5685
5.6579,-0.0645,0.2048,0.5240
5.6913,-0.0581,0.2195,0.4427
5.7248,-0.0492,0.2356,0.4037
5.7583,-0.0427,0.2491,0.3210
5.7918,-0.0338,0.2595,0.2494
5.8252,-0.0252,0.2720,0.1746
5.8587,-0.0160,0.2748,0.0921
5.8922,-0.0070,0.2752,-0.0018
5.9257,0.0030,0.2810,-0.0809
5.9592,0.0108,0.2744,-0.1891
