0.000000,-0.016900,-0.299400
0.033500,-0.027466,-0.289196
0.067000,-0.037696,-0.275534
0.100500,-0.047472,-0.258524
0.133900,-0.056657,-0.238417
0.167400,-0.065209,-0.215350
0.200900,-0.073014,-0.189705
0.234400,-0.080000,-0.161862
0.267900,-0.086109,-0.132243
0.301300,-0.091284,-0.101387
0.334800,-0.095524,-0.069553
0.368300,-0.098790,-0.037256
0.401800,-0.101070,-0.004887
0.435300,-0.102359,0.027200
0.468700,-0.102657,0.058609
0.502200,-0.101972,0.089268
0.535700,-0.100309,0.118863
0.569200,-0.097685,0.147213
0.602600,-0.094128,0.174084
0.636100,-0.089641,0.199501
0.669600,-0.084262,0.223253
0.703100,-0.078027,0.245220
0.736600,-0.070982,0.265275
0.770000,-0.063203,0.283231
0.803500,-0.054709,0.299047
0.837000,-0.045597,0.312504
0.870500,-0.035954,0.323424
0.904000,-0.025877,0.331621
0.937400,-0.015507,0.336900
0.970900,-0.004898,0.339121
1.004400,0.005799,0.338111
1.037900,0.016459,0.333757
1.071300,0.026929,0.326036
1.104800,0.037154,0.314906
1.138300,0.046991,0.300461
1.171800,0.056339,0.282844
1.205300,0.065107,0.262262
1.238700,0.073189,0.239058
1.272200,0.080564,0.213401
1.305700,0.087144,0.185698
1.339200,0.092875,0.156309
1.372600,0.097698,0.125695
1.406100,0.101604,0.094039
1.439600,0.104545,0.061789
1.473100,0.106495,0.029286
1.506600,0.107436,-0.003143
1.540000,0.107360,-0.035097
1.573500,0.106260,-0.066480
1.607000,0.104142,-0.096925
1.640500,0.101017,-0.126182
1.674000,0.096905,-0.154013
1.707400,0.091855,-0.180118
1.740900,0.085876,-0.204445
1.774400,0.079030,-0.226709
1.807900,0.071377,-0.246716
1.841300,0.063011,-0.264230
1.874800,0.053963,-0.279178
1.908300,0.044344,-0.291329
1.941800,0.034252,-0.300518
1.975300,0.023793,-0.306591
2.008700,0.013112,-0.309409
2.042200,0.002266,-0.308868
2.075700,-0.008591,-0.304873
2.109200,-0.019333,-0.297376
2.142700,-0.029833,-0.286378
2.176100,-0.039939,-0.271986
2.209600,-0.049597,-0.254246
2.243100,-0.058668,-0.233397
