0.000000,-0.016900,-0.299400
0.033500,-0.026857,-0.288995
0.067000,-0.036413,-0.275591
0.100500,-0.045472,-0.259369
0.133900,-0.053920,-0.240596
0.167400,-0.061726,-0.219394
0.200900,-0.068789,-0.196069
0.234400,-0.075045,-0.170897
0.267900,-0.080438,-0.144165
0.301300,-0.084910,-0.116261
0.334800,-0.088450,-0.087327
0.368300,-0.091017,-0.057759
0.401800,-0.092595,-0.027874
0.435300,-0.093178,0.002011
0.468700,-0.092770,0.031497
0.502200,-0.091385,0.060456
0.535700,-0.089044,0.088503
0.569200,-0.085781,0.115355
0.602600,-0.081652,0.140670
0.636100,-0.076683,0.164349
0.669600,-0.070946,0.186083
0.703100,-0.064508,0.205662
0.736600,-0.057444,0.222901
0.770000,-0.049860,0.237600
0.803500,-0.041795,0.249716
0.837000,-0.033363,0.259096
0.870500,-0.024658,0.265668
0.904000,-0.015778,0.269389
0.937400,-0.006846,0.270248
0.970900,0.002093,0.268270
1.004400,0.010917,0.263498
1.037900,0.019531,0.256009
1.071300,0.027822,0.245948
1.104800,0.035753,0.233387
1.138300,0.043219,0.218514
1.171800,0.050145,0.201512
1.205300,0.056464,0.182584
1.238700,0.062101,0.162017
1.272200,0.067036,0.139926
1.305700,0.071209,0.116619
1.339200,0.074583,0.092358
1.372600,0.077127,0.067485
1.406100,0.078837,0.042122
1.439600,0.079697,0.016616
1.473100,0.079705,-0.008761
1.506600,0.078872,-0.033741
1.540000,0.077221,-0.057993
1.573500,0.074768,-0.081410
1.607000,0.071551,-0.103680
1.640500,0.067611,-0.124577
1.674000,0.062999,-0.143893
1.707400,0.057785,-0.161387
1.740900,0.052002,-0.176995
1.774400,0.045730,-0.190515
1.807900,0.039043,-0.201822
1.841300,0.032037,-0.210795
1.874800,0.024749,-0.217416
1.908300,0.017281,-0.221607
1.941800,0.009715,-0.223350
1.975300,0.002132,-0.222652
2.008700,-0.005363,-0.219561
2.042200,-0.012737,-0.214120
2.075700,-0.019889,-0.206417
2.109200,-0.026745,-0.196563
